categoria;dificultad;pregunta;respuesta_1;respuesta_2;respuesta_3;respuesta_4;respuesta_correcta;aciertos_total;fallos_total;veces_preguntada;porcentaje_aciertos
futbol;facil;¿Quién es considerado el mejor jugador del mundo por muchos y campeón del mundo en 2022?;Cristiano Ronaldo;Lionel Messi;Mbappé;Modric;2;0;0;0;0
futbol;facil;¿En qué deporte se utiliza una pelota número 5?;Vóley;Básquet;Fútbol;Handball;3;0;0;0;0
futbol;facil;¿Cuántos jugadores tiene un equipo de fútbol dentro de la cancha?;9;10;11;12;3;0;0;0;0
futbol;facil;¿Qué selección ganó la Copa del Mundo 2014?;Argentina;Alemania;Brasil;España;2;0;0;0;0
futbol;facil;¿Cuál es el máximo torneo de clubes europeo?;Europa League;Champions League;Conference League;Supercopa;2;0;0;0;0
futbol;facil;¿Qué país es famoso por el jugador Pelé?;Argentina;Brasil;Chile;Uruguay;2;0;0;0;0
futbol;facil;¿Qué árbitro dirige un partido de fútbol?;Director;Árbitro;Entrenador;DT;2;0;0;0;0
futbol;facil;¿Qué se saca tras cometer una falta dentro del área?;Corner;Penal;Lateral;Saque de arco;2;0;0;0;0
futbol;facil;¿Qué club es conocido como 'El Barca'?;Real Madrid;Barcelona;Sevilla;Valencia;2;0;0;0;0
futbol;facil;¿De qué país es Diego Maradona?;Argentina;España;Brasil;Italia;1;0;0;0;0
futbol;media;¿En qué año ganó Argentina su primera Copa del Mundo?;1974;1978;1982;1986;2;0;0;0;0
futbol;media;¿Qué club es conocido como 'Los Diablos Rojos'?;Liverpool;Benfica;Manchester United;Bayern Munich;3;0;0;0;0
futbol;media;¿Cuál es el apodo de la selección italiana?;La Roja;La Canarinha;La Albiceleste;La Azzurra;4;0;0;0;0
futbol;media;¿En qué club debutó Lionel Messi profesionalmente?;Newell's;Inter Miami;FC Barcelona;PSG;3;0;0;0;0
futbol;media;¿Qué selección ganó la Copa del Mundo 1998?;Brasil;Argentina;Francia;Alemania;3;0;0;0;0
futbol;media;¿Qué jugador es conocido como 'El Fenómeno'?;Zidane;Ronaldo Nazário;Ronaldinho;Kaká;2;0;0;0;0
futbol;media;¿Qué club ganó la primera edición de la Champions League en 1956?;AC Milan;Benfica;Real Madrid;Manchester United;3;0;0;0;0
futbol;media;¿Cuál seleccion ganó la Copa América 2021?;Brasil;Argentina;Uruguay;Chile;2;0;0;0;0
futbol;media;¿Quién fue el entrenador campeón del mundo con España en 2010?;Luis Aragonés;Vicente del Bosque;Pep Guardiola;Luis Enrique;2;0;0;0;0
futbol;media;¿Qué selección ganó la primera Copa del Mundo en 1930?;Argentina;Brasil;Italia;Uruguay;4;0;0;0;0
futbol;dificil;¿En qué equipo jugaba Maradona cuando ganó el Balón de Oro en 1986?;Barcelona;Napoli;Boca Juniors;Sevilla;2;0;0;0;0
futbol;dificil;¿Cuál es el único club argentino que ganó la Copa Intercontinental 3 veces?;River Plate;Boca Juniors;Independiente;Racing Club;2;0;0;0;0
futbol;dificil;¿En qué año se instauró el uso de tarjetas amarillas y rojas en el fútbol?;1966;1970;1974;1982;2;0;0;0;0
futbol;dificil;¿Quién fue el primer jugador en superar los 800 goles oficiales en su carrera?;Cristiano Ronaldo;Messi;Pelé;Romário;1;0;0;0;0
futbol;dificil;¿Cuál fue el primer club de la historia en ganar el sextete?;Bayern Munich;Real Madrid;Barcelona;Inter de Milán;3;0;0;0;0
